user,age,goal,city
Gabrielle-Margaux Renault,47,weight_loss,Hamon-la-Forêt
Claudine-Lucy Evrard,54,endurance,Pierredan
Jérôme-Robert Hoareau,36,strength,Prévost-sur-Dupré
Constance Texier-Lebreton,41,endurance,Bodinnec
Bernard David,34,weight_loss,Chrétien
Denise Masse,31,strength,Verdier
Célina Moreau,51,weight_loss,Sainte Maurice
Augustin Normand,26,endurance,Brunet
Paul Cordier,39,weight_loss,Marin
Margaret Guyon,41,weight_loss,Bouchet-sur-Robert
Christiane Gérard,34,weight_loss,Cordier
Frédérique Robin,33,endurance,Perez
Maurice Blanchet,47,strength,Sainte Adrien-la-Forêt
Madeleine Giraud-Morel,43,weight_loss,Sainte Margotnec
Xavier Hebert,49,weight_loss,Deschamps-sur-Cordier
Louis Dupré,31,strength,Lacombe-sur-Rousseau
Tristan du Jacquot,24,strength,Huet
Constance Leclercq,54,endurance,Guillaume
Raymond-Jacques Legrand,24,weight_loss,Saint Marcel-sur-Mer
Anne de la Jourdan,54,weight_loss,TraoreVille
Victor de la Barthelemy,26,endurance,LouisVille
Benjamin Diallo,54,weight_loss,Saint Honoré-sur-Mer
Michèle Carlier-Bruneau,23,strength,Moulin
Victor Lamy,44,strength,Perret
Monique Gomez,55,weight_loss,Lefebvre
Henri-Éric Dupont,26,weight_loss,Faure
Suzanne Hardy,30,strength,GonzalezVille
Thierry Ramos,34,endurance,Guillot-les-Bains
Édouard Le Collin,55,weight_loss,Martinez
Thérèse Maury,23,endurance,Ollivier
Lucas Peron,43,strength,Legros
Michelle Thomas,29,endurance,Martinez-sur-Mer
Thérèse-Margaud Blin,38,weight_loss,Costanec
Éric du Charrier,51,strength,RibeiroBourg
Noémi Loiseau,29,weight_loss,Peltier-les-Bains
Tristan Joseph,38,strength,Daniel
Alain Duval,40,weight_loss,Rivière
Amélie-Cécile Rousset,52,weight_loss,Sainte Henriettenec
Tristan Bodin,26,strength,Wagner
Thibault Peltier,46,strength,Bergerdan
Lucas-Gilbert Neveu,20,strength,Collet
Bernard Bègue,31,endurance,Merle-sur-Delaunay
